Name,Country,Latitude,Longitude
Helsinki,Finland,60.1674881,24.9427473
Oulu,Finland,65.0118734,25.4716809
Turku,Finland,60.4517531,22.2670522
Espoo,Finland,60.2047672,24.6568435
Pori,Finland,61.4865542,21.7968951
Hämeenlinna,Finland,60.9948584,24.46654
Berlin,Germany,52.5170365,13.3888599
Hamburg,Germany,53.550341,10.000654
Munich,Germany,48.1371079,11.5753822
Cologne,Germany,50.938361,6.959974
Frankfurt am Main,Germany,50.1106444,8.6820917
Stuttgart,Germany,48.7784485,9.1800132
Düsseldorf,Germany,51.2254018,6.7763137
Paris,France,48.8534951,2.3483915
Marseille,France,43.2961743,5.3699525
Lyon,France,45.7578137,4.8320114
Toulouse,France,43.6044622,1.4442469
Nantes,France,47.2186371,-1.5541362
Nice,France,43.7009358,7.2683912
Montpellier,France,43.6112422,3.8767337
Strasbourg,France,48.584614,7.7507127
Madrid,Spain,40.4167047,-3.7035825
Barcelona,Spain,41.3828939,2.1774322
Valencia,Spain,39.4697065,-0.3763353
Seville,Spain,37.3886303,-5.9953403
Bilbao,Spain,43.2630018,-2.9350039
Málaga,Spain,36.7213028,-4.4216366
Asturias,Spain,43.3133868,-5.94192
Alicante,Spain,38.3436365,-0.4881708
