Name,Country,Latitude,Longitude
Helsinki,Finland,60.1674881,24.9427473
Espoo,Finland,60.2047672,24.6568435
Tampere,Finland,61.4980214,23.7603118
Vantaa,Finland,60.2921321,25.0411832
Oulu,Finland,65.0118734,25.4716809
Turku,Finland,60.4517531,22.2670522
Jyväskylä,Finland,62.2417066,25.7495727
Lahti,Finland,60.9826014,25.6613764
Kuopio,Finland,62.8924601,27.6781839
Pori,Finland,61.4865542,21.7968951
Kouvola,Finland,60.8680928,26.7038517
Joensuu,Finland,62.6005753,29.7622128
Lappeenranta,Finland,61.0583713,28.1862742
Hämeenlinna,Finland,60.9948584,24.46654
Vaasa,Finland,63.081820949999994,21.479812522296804
Seinäjoki,Finland,62.7954104,22.8442015
Rovaniemi,Finland,66.5025657,25.73122
Mikkeli,Finland,61.6877956,27.2726569
Kotka,Finland,60.4674228,26.9450844
Salo,Finland,60.3846716,23.1286377
Porvoo,Finland,60.3953913,25.6604862
Kokkola,Finland,63.8391421,23.1336845
Hyvinkää,Finland,60.6335719,24.8695328
Lohja,Finland,60.2526036,24.0684575
Järvenpää,Finland,60.4743601,25.0925118
Rauma,Finland,61.1289148,21.5039401
Kajaani,Finland,64.2240872,27.7334227
Kerava,Finland,60.4034398,25.1041013
Savonlinna,Finland,61.8689933,28.8797178
Nokia,Finland,61.4781666,23.5096158
Kaarina,Finland,60.407169,22.3678223
Ylöjärvi,Finland,61.5499614,23.5969495
Kangasala,Finland,61.4649006,24.0659379
Riihimäki,Finland,60.7390089,24.7728148
Raasepori,Finland,59.9285263,23.52192344963455
Imatra,Finland,61.1923342,28.7716996
Raahe,Finland,64.6795905,24.4709593
Berlin,Germany,52.5170365,13.3888599
Hamburg,Germany,53.550341,10.000654
Munich,Germany,48.1371079,11.5753822
Cologne,Germany,50.938361,6.959974
Frankfurt am Main,Germany,50.1106444,8.6820917
Stuttgart,Germany,48.7784485,9.1800132
Düsseldorf,Germany,51.2254018,6.7763137
Leipzig,Germany,51.3406321,12.3747329
Dortmund,Germany,51.5142273,7.4652789
Essen,Germany,51.4582235,7.0158171
Bremen,Germany,53.0758196,8.8071646
Dresden,Germany,51.0493286,13.7381437
Hanover,Germany,52.3744779,9.7385532
Nuremberg,Germany,49.453872,11.077298
Duisburg,Germany,51.434999,6.759562
Bochum,Germany,51.4818111,7.2196635
Wuppertal,Germany,51.264018,7.1780374
Bielefeld,Germany,52.0191005,8.531007
Bonn,Germany,50.735851,7.10066
Münster,Germany,51.9625101,7.6251879
Mannheim,Germany,49.4892913,8.4673098
Karlsruhe,Germany,49.0068705,8.4034195
Augsburg,Germany,48.3668041,10.8986971
Wiesbaden,Germany,50.0820384,8.2416556
Mönchengladbach,Germany,51.1947131,6.4353792
